Creative,Year,Worldwide,,,,,
Contemporary Fiction,2008,7475539373,,,,,
Contemporary Fiction,2009,6158540516,,,,,
Contemporary Fiction,2010,6884636953,,,,,
Contemporary Fiction,2011,6368439337,,,,,
Contemporary Fiction,2012,7447975108,,,,,
Contemporary Fiction,2013,6300978031,,,,,
Contemporary Fiction,2014,4144904740,,,,,
Contemporary Fiction,2015,7680328317,,,,,
Contemporary Fiction,2016,4423004222,,,,,
Contemporary Fiction,2017,5553393682,,,,,
Contemporary Fiction,2018,3775689413,,,,,
Dramatization,2008,620340671,,,,,
Dramatization,2009,693316348,,,,,
Dramatization,2010,1071320030,,,,,
Dramatization,2011,612132402,,,,,
Dramatization,2012,693141426,,,,,
Dramatization,2013,1609991990,,,,,
Dramatization,2014,1299104398,,,,,
Dramatization,2015,1405519643,,,,,
Dramatization,2016,1071721278,,,,,
Dramatization,2017,1658073592,,,,,
Dramatization,2018,255320611,,,,,
Factual,2008,70712099,,,,,
Factual,2009,368864333,,,,,
Factual,2010,258473323,,,,,
Factual,2011,99034125,,,,,
Factual,2012,,,,,,
Factual,2013,229444805,,,,,
Factual,2014,,,,,,
Factual,2015,,,,,,
Factual,2016,,,,,,
Factual,2017,,,,,,
Factual,2018,,,,,,
Fantasy,2008,2681528746,,,,,
Fantasy,2009,4259538782,,,,,
Fantasy,2010,6087001678,,,,,
Fantasy,2011,4772389781,,,,,
Fantasy,2012,5443558250,,,,,
Fantasy,2013,2916974617,,,,,
Fantasy,2014,4160309364,,,,,
Fantasy,2015,1468020656,,,,,
Fantasy,2016,4383496849,,,,,
Fantasy,2017,3152270158,,,,,
Fantasy,2018,133401882,,,,,
Historical Fiction,2008,1566494623,,,,,
Historical Fiction,2009,1044155675,,,,,
Historical Fiction,2010,971720736,,,,,
Historical Fiction,2011,1276902426,,,,,
Historical Fiction,2012,1554956382,,,,,
Historical Fiction,2013,1040340342,,,,,
Historical Fiction,2014,1680345273,,,,,
Historical Fiction,2015,671490959,,,,,
Historical Fiction,2016,880107225,,,,,
Historical Fiction,2017,2339038163,,,,,
Historical Fiction,2018,70798829,,,,,
Kids Fiction,2008,1717118607,,,,,
Kids Fiction,2009,2939222241,,,,,
Kids Fiction,2010,4028341388,,,,,
Kids Fiction,2011,4353671402,,,,,
Kids Fiction,2012,3307411850,,,,,
Kids Fiction,2013,5282964263,,,,,
Kids Fiction,2014,2159600469,,,,,
Kids Fiction,2015,4380164804,,,,,
Kids Fiction,2016,6432704606,,,,,
Kids Fiction,2017,4228973362,,,,,
Kids Fiction,2018,2558815082,,,,,
Multiple Creative Types,2008,,,,,,
Multiple Creative Types,2009,,,,,,
Multiple Creative Types,2010,,,,,,
Multiple Creative Types,2011,,,,,,
Multiple Creative Types,2012,130673154,,,,,
Multiple Creative Types,2013,,,,,,
Multiple Creative Types,2014,,,,,,
Multiple Creative Types,2015,,,,,,
Multiple Creative Types,2016,,,,,,
Multiple Creative Types,2017,,,,,,
Multiple Creative Types,2018,,,,,,
Science Fiction,2008,2378837412,,,,,
Science Fiction,2009,5860550851,,,,,
Science Fiction,2010,2083662627,,,,,
Science Fiction,2011,3553775383,,,,,
Science Fiction,2012,2762308509,,,,,
Science Fiction,2013,3840533360,,,,,
Science Fiction,2014,5849595321,,,,,
Science Fiction,2015,7611661955,,,,,
Science Fiction,2016,3700868567,,,,,
Science Fiction,2017,4599703681,,,,,
Science Fiction,2018,3904986718,,,,,
Super Hero,2008,2710014661,,,,,
Super Hero,2009,561802010,,,,,
Super Hero,2010,621156389,,,,,
Super Hero,2011,1623995694,,,,,
Super Hero,2012,3361808913,,,,,
Super Hero,2013,2944451158,,,,,
Super Hero,2014,4079444917,,,,,
Super Hero,2015,2094902436,,,,,
Super Hero,2016,5023522633,,,,,
Super Hero,2017,4684034285,,,,,
Super Hero,2018,5175335361,,,,,
